Content.entity,Content.tag,Content.category,Content.subcategory
آدم,@AdamProphet,person,Prophet
إسماعيل,@IsmaCilProphet,person,Prophet
إبراهيم,@AbrahamProphet,person,Prophet
موسى,@MosesProphet,person,Prophet
عيسى,@JesusProphet,person,Prophet
نوح,@NoahProphet,person,Prophet
حواء,@Eve,person,Prophet
ابراهيم,@AbrahamProphet,person,Prophet
قابيل بن آدم,@Cain,person,Prophet
هابيل,@Abel,person,Prophet
شيثا,@Seth,person,Prophet
شيث,@Seth,person,Prophet
داود,@DavidProphet,person,Prophet
خنوخ,@Enoch,person,Prophet
يرد,@Jared,person,Prophet
يارد,@Jared,person,Prophet
لمك,@Lamech,person,Prophet
سام,@Shem,person,Prophet
لسام,@Shem,person,Prophet
حام,@Ham,person,Prophet
لجام,@Ham,person,Prophet
يافث,@Japheth,person,Prophet
جم الشيذ,@Jemshed,person,Prophet
جم,@Jemshed,person,Prophet
يوسف,@Joseph,person,Prophet
سليمان,@Solomon,person,Prophet
هود,@HudProphet,person,Prophet
صالح,@SalihProphet,person,Prophet
لوط,@LotProphet,person,Prophet
لوطا,@LotProphet,person,Prophet
سارة,@Sarah,person,Prophet
اسماعيل,@IshmaCilProphet,person,Prophet
إسحاق,@IsaacProphet,person,Prophet
يعقوب,@JacobProphet,person,Prophet
امرأة لوط,@WifeofLot,person,Prophet
شعيب,@ShuCaybProphet,person,Prophet
يوسف,@Joseph,person,Prophet
بنيامين,@Benjamin,person,Prophet
أيوب,@Job,person,Prophet
الخضر,@Khidr,person,Prophet
هارون,@Aaron,person,Prophet
يوشع,@JoshuaProphet,person,Prophet
كالب,@CalebIbnJepunneh,person,Prophet
حزقيل,@EzekielProphet,person,Prophet
هزقيل,@EzekielProphet,person,Prophet
الياس,@ElijahProphet,person,Prophet
إلياس بن ياسين,@ElijahProphet,person,Prophet
إلياس,@ElijahProphet,person,Prophet
اليسع,@Elisha,person,Prophet
شمويل,@SamuelProphet,person,Prophet
أشمويل,@SamuelProphet,person,Prophet
طالوت,@Saul,person,Prophet
زكرياء,@Zechariah,person,Prophet
يحيى,@JohntheBaptist,person,Prophet
شعيا,@Isaiah,person,Prophet
إرميا,@JeremiahProphet,person,Prophet
دانيال,@DanielProphet,person,Prophet
يوسف,@Joseph,person,Prophet
ابن هشام,@IbnHishamAuthor,person,Other person
معد,@MaCd,person,Other person
عدنان,@Cadnan,person,Other person
عك,@Cak,person,Other person
قضاعة,@QudaCa,person,Other person
قنص بن معد,@QunusIbnMaCd,person,Other person
النعمان بن المنذر,@NuCmanIbnMundhir,person,Other person
النعمان,@NuCmanIbnMundhir,person,Other person
لخم بن عدي,@LakhmIbnCadi,person,Other person
عمرو بن عامر,@CamrIbnCamir,person,Other person
ربيعة بن نصر,@RabiCIbnNasr,person,Other person
سطيح,@SatihSoothsayer,person,Other person
أبرهة,@Abraha,person,Other person
شق,@ShiqqSoothsayer,person,Other person
بجيلة,@Bajila,person,Other person
تبان,@Tiban,person,Other person
عمرو بن طلة,@CAmrIbnTalla,person,Other person
حسان بن تبان,@HassanIbnTiban,person,Other person
عمرو,@CAmrIbnTiban,person,Other person
ذي نواس,@DhuNuwas,person,Other person
ذي شناتر,@DhuShanatir,person,Other person
عبد الله بن الثامر,@CabdallahIbnalThamir,person,Other person
ابن الثامر,@CabdallahIbnalThamir,person,Other person
