entity,tag,category,subcategory
صفر,@SafarMonth,time,month
سنة ثلاث,@Year3,time,year
سنة أربع,@Year4,time,year
شعبان,@ShaCbanMonth,time,month
ربيع الأول,@RabiCAwwalMonth,time,month
سنة خمس,@Year5,time,year
شوال,@ShawwalMonth,time,month
سنة ست,@Year6,time,year
المحرم ,@MuharramMonth,time,month
سنة سبع,@Year7,time,year
ذي القعدة,@DhuQaCdaMonth,time,month
ذو القعدة,@DhuQaCdaMonth,time,month
سنة ثمان,@Year8,time,year
جمادى الأولى,@JumadaAwwalMonth,time,month
رمضان,@RamadanMonth,time,month
رجب,@RajabMonth,time,month
سنة تسع,@Year9,time,year
ربيع الآخر,@RabiCAkharlMonth,time,month
ربيع الثاني,@RabiCAkharlMonth,time,month
جمادى الآخرة,@JumadaAkharMonth,time,month
جمادى الثانية,@JumadaAkharMonth,time,month
ذي الحجة,@DhuHijjaMonth,time,month
ذو الحجة,@DhuHijjaMonth,time,month
سنة ثماني,@Year8,time,year
خزاعة,@BanuKhuzaCa,group,tribes
كنانة,@BanuKinana,group,tribes
قريش,@Quraysh,group,tribes
بني هاشم,@BanuHashim,group,tribes
بنو هاشم,@BanuHashim,group,tribes
بني أمية,@BanuUmayya,group,tribes
بنو أمية,@BanuUmayya,group,tribes
بني أسد,@BanuAsad,group,tribes
بنو أسد,@BanuAsad,group,tribes
بنو عبد شمس,@BanuCabdShams,group,tribes
بني عبد شمس,@BanuCabdShams,group,tribes
بني نوفل,@BanuNaufal,group,tribes
بنو نوفل,@BanuNaufal,group,tribes
بني عبد بن قصي,@BanuCabdIbnQusayy,group,tribes
بنو عبد بن قصي,@BanuCabdIbnQusayy,group,tribes
بني عبد الدار بن قصي,@BanuCabdDarIbnQusayy,group,tribes
بنو عبد الدار بن قصي,@BanuCabdDarIbnQusayy,group,tribes
بني عبد الدار,@BanuCabdDarIbnQusayy,group,tribes
بنو عبد الدار,@BanuCabdDarIbnQusayy,group,tribes
بني زهرة,@BanuZuhra,group,tribes
بنو زهرة,@BanuZuhra,group,tribes
 بني هذيل,@BanuHudayl,group,tribes
 بنو هذيل,@BanuHudayl,group,tribes
بني تيم,@BanuTaym,group,tribes
بنو تيم,@BanuTaym,group,tribes
بني مخزوم,@BanuMakhzum,group,tribes
