entity,tag,category
النسب,@genealogy,entity
نسب,@genealogy,entity
عمر,@age,entity
أصل,@origins,entity
أول,@first,entity
شعر,@poetry,entity
الشعر,@poetry,entity
القرآن,@Quran,object
أصنام,@Idols,object
صنم,@Idols,object
هبل,@HubalIdol,object
اللات,@AlatGod,entity
مناة,@ManatGod,entity
الإنجيل,@Gospels,object
الصلاة,@Prayer,entity
تفسير ابن هشام,@TafsirIbnHisham,entity
القبلة,@Qibla,entity
عدد,@Quantity,entity
عدة,@Quantity,entity
تاريخ,@Dating,entity
وقتها,@Dating,entity
الأصنام,@idols,object
أصنامها,@idols,object
رثاء,@PoetryLament,entity
نسبه,@genealogy,entity
تفسير,@Tafsir,entity
شعره,@Poetry,entity
خطبه,@Khutba,entity
خطب,@Khutba,entity
يومها,@Dating,entity
عددهم,@Quantity,entity
تاريخها,@Dating,entity
تحريض,@provocation,entity
أموال,@spoils,object
الفيء,@spoils,object
آدم,@AdamProphet,person
ابن هشام,@IbnHishamAuthor,person
إسماعيل,@IsmaCilProphet,person
معد,@MaCd,person
عدنان,@Cadnan,person
عك,@Cak,person
قنص بن معد,@QunusIbnMaCd,person
النعمان بن المنذر,@NuCmanIbnMundhir,person
النعمان,@NuCmanIbnMundhir,person
لخم بن عدي,@LakhmIbnCadi,person
عمرو بن عامر,@CamrIbnCamir,person
ربيعة بن نصر,@RabiCIbnNasr,person
سطيح,@SatihSoothsayer,person
أبرهة,@Abraha,person
شق,@ShiqqSoothsayer,person
بجيلة,@Bajila,person
تبان,@Tiban,person
عمرو بن طلة,@CAmrIbnTalla,person
حسان بن تبان,@HassanIbnTiban,person
عمرو,@CAmrIbnTiban,person
ذي نواس,@DhuNuwas,person
ذو نواس,@DhuNuwas,person
ذي شناتر,@DhuShanatir,person
عبد الله بن الثامر,@CabdallahIbnalThamir,person
ابن الثامر,@CabdallahIbnalThamir,person
قيصر,@EmperorRome,person
أرياط,@Aryat,person
النجاشي,@Negus,person
نفيل,@NufaylIbnHabib,person
عبد المطلب,@AbdalMuttalib,person
حناطة,@Hunata,person
ذو نفر,@DhuNafr,person
أنيس,@Unays,person
خويلد,@KhuwaylidIbnWathila,person
الأسود بن مقصود,@AswadIbnMafsud,person
سيف بن ذي يزن,@SayfIbnDhuYazan,person
ابن ذي يزن,@SayfIbnDhuYazan,person
وهرز,@Wahriz,person
كسرى,@ChosroesShah,person
نزار بن معد,@NizarIbnMaCd,person
مضر,@Mudar,person
أنمار,@Anmar,person
إلياس,@Ilyas,person
عمرو بن لحي,@CamrIbnLuhayy,person
عبد مناف,@AbdManaf,person
هاشم,@Hashim,person
عوف بن لؤي,@CaufIbnLuay,person
عبد شمس,@AbdShams,person
حليمة,@Halima,person
آمنة,@AminaMotherProphet,person
العباس,@CabbasIbnCabdMutallib,person
أبي طالب,@AbuTalib,person
أبو طالب,@AbuTalib,person
بحيرى,@BahiraMonk,person
خديجة,@KhadijaWife,person
جبريل,@GabrielAngel,person
علي بن أبي طالب,@CaliIbnAbiTalib,person
علي,@CaliIbnAbiTalib,person
أبي بكر,@AbuBakr,person
أبو بكر,@AbuBakr,person
عثمان,@CuthmanIbnAffan,person
الزبير ,@ZubayrIbnAwwam,person
طلحة,@TalhaIbnUbayullah,person
الوليد بن المغيرة,@WalidIbnMughira,person
حمزة,@HamzaIbnCabdMutallib,person
أبي جهل,@AbuJahl,person
أبو جهل,@AbuJahl,person
عتبة بن ربيعة,@CutbaIbnRabiCa,person
الأخنس,@AkhnasIbnShariq,person
بلال,@Bilal,person
ابن عباس,@CabdAllahIbnCabbas,person
عمر بن الخطاب,@CumarIbnKhattab,person
عمر,@CumarIbnKhattab,person
إبراهيم,@AbrahamProphet,person
موسى,@MosesProphet,person
عيسى,@JesusProphet,person
أسعد بن زرارة,@AsaCdIbnZurara,person
ذي القرنين,@DhuQarnayn,person
ذو القرنين,@DhuQarnayn,person
ذا القرنين,@DhuQarnayn,person
زكريا,@ZakariaProphet,person
مريم,@Maryam,person
عامر,@Camir,person
عائشة,@CaishaProphetWife,person
عبيدة بن الحارث,@UbaydaIbnHarith,person
أبي سفيان,@AbuSufyan,person
أبو سفيان,@AbuSufyan,person
سهيل بن عمرو,@SuhaylIbnCamr,person
أبي العاص بن الربيع,@AbuCasIbnRabiCa,person
أبو العاص بن الربيع,@AbuCasIbnRabiCa,person
أبي العاص,@AbuCasIbnRabiCa,person
أبو العاص,@AbuCasIbnRabiCa,person
زينب,@ZaynabBintMuhammad,person
زيد بن حارثة,@ZaydIbnHaritha,person
هند,@HindBintCutba,person
عمرو بن العاص ,@CamrIbnCas,person
خالد بن الوليد,@KhalidIbnWalid,person
أبي جندل,@AbuJandal,person
أبو جندل,@AbuJandal,person
عبد الله بن أمية,@AbdullahIbnUmayya,person
مسيلمة,@Musaylima,person
