Order,Ibn Hisham text,Ibn Hisham UI,Column1,Tabari Text,Tabari UI,Column2,Ibn Sa'd Text,Ibn Sa'd UI,Column3,Section of storyline,Column4,Importance,Total PRI
1,,,,,,,ذكر بيوت رسول الله - صلى الله عليه وسلم - وحجر أزواجه,1.108.0.0.0,,Maghazi,,SEC,8
2,,,,,,,ذكر بناء رسول الله - صلى الله عليه وسلم - المسجد بالمدينة,1.64.0.0.0,,Maghazi,,PRI,
3,خبر الأذان,118.0.0,,,,,ذكر الأذان,1.67.0.0.0,,Maghazi,,SEC,
4,,,,خطبه رسول الله ص في أول جمعة جمعها بالمدينة,3.8.1.0,,,,,Maghazi,,SEC,
5,غزوة ودان وهي أول غزواته عليه الصلاة والسلام ,131.0.0,,,,,,,,Maghazi,,SEC,
6,صرف القبلة إلى الكعبة,139.0.0,,,,,ذكر صرف القبلة عن بيت المقدس إلى الكعبة,1.65.0.0.0,,Maghazi,,SEC,
7,,,,,,,ذكر فرض شهر رمضان وزكاة الفطر وصلاة العيدين وسنة الأضحية,1.68.0.0.0,,Maghazi,,SEC,
8, غزوة بدر الكبرى,140.0.0,,ذكر وقعة بدر الكبرى,3.9.4.0,,غزوة بدر ,2.1.8.0.0,,Maghazi,,PRI,
9,نزول سورة الأنفال,147.0.0,,,,,,,,Maghazi,,SEC,
10,أمر بني قينقاع,158.0.0,,غزوة بني قينقاع,3.9.5.0,,,,,Maghazi,,SEC,
11,غزوة أحد,162.0.0,,غزوة أحد,3.10.5.0,,غزوة رسول الله - صلى الله عليه وسلم - أحدا «1»,2.1.18.0.0,,Maghazi,,PRI,
12,أمر إجلاء بني النضير في سنة أربع,169.0.0,,ذكر خبر جلاء بني النضير,3.11.4.0,,غزوة رسول الله - صلى الله عليه وسلم - بني النضير «1»,2.1.24.1.0,,Maghazi,,SEC,
13,غزوة دومة الجندل في شهر ربيع الأول سنة خمس,172.0.0,,,,,,,,Maghazi,,SEC,
14,,,,ففي هذه السنه تزوج رسول الله ص زينب بنت جحش,3.12.1.0,,,,,Maghazi,,SEC,
15,غزوة الخندق [1] في شوال سنة خمس,173.0.0,,ذكر الخبر عن غزوة الخندق,3.12.3.0,,غزوة رسول الله - صلى الله عليه وسلم - الخندق وهي غزوة الأحزاب»,2.1.29.1.0,,Maghazi,,PRI,
16,أمر الحديبية,182.0.0,,"ذكر الخبر عن عمره النبي ص التي صده المشركون فيها عن البيت، وهي قصة الحديبية",3.13.5,,غزوة رسول الله - صلى الله عليه وسلم - الحديبية «1»,2.1.49.1.0,,Maghazi,,SEC,
17,أمر الهدنة,184.0.0,,,,,,,,Maghazi,,SEC,
18, بقية أمر خيبر,188.0.0,,غزوة خيبر,4.1.1.0,,غزوة رسول الله - صلى الله عليه وسلم - خيبر «1»,2.1.50.1.0,,Maghazi,,SEC,
19,ذكر قدوم جعفر بن أبي طالب من الحبشة وحديث المهاجرين إلى الحبشة ,194.0.0,,,,,,,,Maghazi,,SEC,
20,"ذكر غزوة مؤتة [1] في جمادى الأولى سنة ثمان، ومقتل جعفر وزيد وعبد الله بن رواحة ",196.0.0,,ذكر الخبر عن غزوة مؤتة,4.2.7.0,,سرية مؤتة,2.1.62.1.0,,Maghazi,,SEC,
21,ذكر الأسباب الموجبة المسير إلى مكة وذكر فتح مكة في شهر رمضان سنة ثمان,197.0.0,,ذكر الخبر عن فتح مكة,4.2.8.0,,غزوة رسول الله - صلى الله عليه وسلم - عام الفتح «1»,2.1.67.1.0,,Maghazi,,PRI,
