Order,Ibn Hisham text,Ibn Hisham UI,Tabari Text,Tabari UI,Ibn Sa'd Text,Ibn Sa'd UI,Section of storyline,Importance
1,,,القول في الزمان ما هو,2.0.0.0.0,,,Mubtada,SEC
2,,,القول في خلق آدم ع,17.0.0.0.0,,,Mubtada,PRI
3,,,القول فيما خلق الله في كل يوم من الأيام السته التي ذكر الله في كتابه أنه خلق فيهن السموات والأرض وما بينهما,70.1.0.0.0,,,Mubtada,SEC
4,,,ذكر الأحداث التي كانت في عهد آدم ع بعد أن أهبط إلى الأرض,22.0.0.0.0,ذكر القرون والسنين التي بين آدم ومحمد. عليهما الصلاة والسلام قال:,1.8.0.0.0,Mubtada,SEC
5,,,ذكر نوح,26.7.0.0.0,,,Mubtada,SEC
6,,,ذكر الأحداث التي كانت بين نوح وإبراهيم خليل الرحمن ع,29.0.0.0.0,,,Mubtada,PRI
7,,,ذكر ابراهيم خليل الرحمن ع وذكر من كان في عصره من ملوك العجم ,30.0.0.0.0,,,Mubtada,SEC
8,,,ثم إن الله تعالى ذكره ابتلى خليله ابراهيم ع بذبح ابنه.,30.5.0.0.0,,,Mubtada,SEC
9,,,ذكر أيوب ع,33.0.0.0.0,,,Mubtada,SEC
10,,,ذكر يعقوب وأولاده,35.0.0.0.0,,,Mubtada,SEC
11,,,يوسف,35.1.0.0.0,,,Mubtada,SEC
12,,,قصة الخضر وخبره وخبر موسى وفتاه يوشع ع,36.0.0.0.0,,,Mubtada,PRI
13,,,ذكر وفاه موسى وهارون ابنى عمران ع,39.0.0.0.0,,,Mubtada,SEC
14,,,ذكر خبر سليمان بن داود ع,47.0.0.0.0,,,Mubtada,PRI
15,,,ذكر الخبر عن ملوك اليمن في أيام قابوس وبعده إلى عهد بهمن بن إسفنديار,51.0.0.0.0,,,Mubtada,SEC
16,,,ذكر اخبار ملوك الفرس بعد الاسكندر وهم ملوك الطوائف,55.0.0.0.0,,,Mubtada,SEC
18,,,ذكر الخبر عن أصحاب الكهف,64.0.0.0.0,,,Mubtada,SEC
19,"أمر الفيل، وقصة النسأة",13.0.0,,,,,Mubtada,SEC
20,أولاد عبد المطلب بن هاشم,25.0.0,ذكر نسب رسول الله ص وذكر بعض أخبار آبائه وأجداده,70.1.0.0.0,ذكر نسب رسول الله - صلى الله عليه وسلم - وتسمية من ولده إلى آدم- صلى,1.10.0.0.0,Mubtada,PRI
21,أمر جرهم ودفن زمزم,27.0.0,,,,,Mubtada,SEC
22,حلف الفضول,36.0.0,,,,,Mubtada,SEC
23,ذكر حفر زمزم وما جرى من الخلف فيها,37.0.0,,,,,Mubtada,SEC
24,ذكر نذر عبد المطلب ذبح ولده,39.0.0,,,,,Mubtada,SEC
