Order,Ibn Hisham text,Ibn Hisham UI,Column1,Tabari Text,Tabari UI,Column2,Ibn Sa'd Text,Ibn Sa'd UI,Column3,Section of storyline,Column4,Importance,Total PRI,Name
1,,,,القول في الزمان ما هو,1.1.0,,,,,Mubtada,,SEC,6,Mubtada_data
2,,,,القول في خلق آدم ع,1.16.0,,,,,Mubtada,,PRI,,Mubtada_data
3,,,,,,,ذكر القرون والسنين التي بين آدم ومحمد. عليهما الصلاة والسلام قال:,1.8.0.0.0,,Mubtada,,SEC,,Mubtada_data
4,,,,ذكر الأحداث التي كانت في عهد آدم ع بعد أن أهبط إلى الأرض,1.21.0,,,,,Mubtada,,SEC,,Mubtada_data
5,,,,[Noah]@MAB@,1.25.7,,,,,Mubtada,,SEC,,Mubtada_data
6,,,,ذكر الأحداث التي كانت بين نوح وإبراهيم خليل الرحمن ع,1.28.0,,,,,Mubtada,,PRI,,Mubtada_data
7,,,,ذكر ابراهيم خليل الرحمن ع وذكر من كان في عصره من ملوك العجم ,1.29.0,,,,,Mubtada,,SEC,,Mubtada_data
8,,,,ثم إن الله تعالى ذكره ابتلى خليله ابراهيم ع بذبح ابنه.,1.29.5,,,,,Mubtada,,SEC,,Mubtada_data
9,,,,ذكر أيوب ع,1.32.0,,,,,Mubtada,,SEC,,Mubtada_data
10,,,,ذكر يعقوب وأولاده,1.34.0,,,,,Mubtada,,SEC,,Mubtada_data
11,,,,يوسف,1.34.1,,,,,Mubtada,,SEC,,Mubtada_data
12,,,,قصة الخضر وخبره وخبر موسى وفتاه يوشع ع,1.35.0,,,,,Mubtada,,PRI,,Mubtada_data
13,,,,ذكر وفاه موسى وهارون ابنى عمران ع,1.38.0,,,,,Mubtada,,SEC,,Mubtada_data
14,,,,ذكر خبر سليمان بن داود ع,1.46.0,,,,,Mubtada,,PRI,,Mubtada_data
15,,,,ذكر الخبر عن ملوك اليمن في أيام قابوس وبعده إلى عهد بهمن بن إسفنديار,1.50.0,,,,,Mubtada,,SEC,,Mubtada_data
16,,,,ذكر اخبار ملوك الفرس بعد الاسكندر وهم ملوك الطوائف,1.54.0,,,,,Mubtada,,SEC,,Mubtada_data
17,,,,القول فيما خلق الله في كل يوم من الأيام السته التي ذكر الله في كتابه أنه خلق فيهن السموات والأرض وما بينهما,1.9.0,,,,,Mubtada,,PRI,,Mubtada_data
18,,,,ذكر الخبر عن أصحاب الكهف,2.1.0,,,,,Mubtada,,SEC,,Mubtada_data
19,"أمر الفيل، وقصة النسأة",14.0.0,,,,,,,,Mubtada,,SEC,,Mubtada_data
20,أولاد عبد المطلب بن هاشم,26.0.0,,ذكر نسب رسول الله ص وذكر بعض أخبار آبائه وأجداده,3.1.0,,ذكر نسب رسول الله - صلى الله عليه وسلم - وتسمية من ولده إلى آدم- صلى,1.10.0.0.0,,Mubtada,,PRI,,Mubtada_data
21,أمر جرهم ودفن زمزم,28.0.0,,,,,,,,Mubtada,,SEC,,Mubtada_data
22,حلف الفضول,37.0.0,,,,,,,,Mubtada,,SEC,,Mubtada_data
23,ذكر حفر زمزم وما جرى من الخلف فيها,38.0.0,,,,,,,,Mubtada,,SEC,,Mubtada_data
24,ذكر نذر عبد المطلب ذبح ولده,40.0.0,,,,,,,,Mubtada,,SEC,,Mubtada_data
1,ذكر ما قيل لآمنة عند حملها برسول الله صلى الله عليه وسلم,42.0.0,,,,,,,,Mabath,,SEC,,Mabath_data
2, ولادة رسول الله صلى الله عليه وسلم ورضاعته,43.0.0,, ذكر مولد رسول الله ص,2.6.23,,ذكر مولد رسول الله- صلى الله عليه وسلم -,1.23.0.0.0,,Mabath,,PRI,6,Mabath_data
3,وفاة آمنة وحال رسول الله صلى الله عليه وسلم مع جده عبد المطلب بعدها,44.0.0,,,,,ذكر وفاة آمنة أم رسول الله- صلى الله عليه وسلم -,1.27.0.0.0,,Mabath,,SEC,,Mabath_data
4,وفاة عبد المطلب. وما رثي به من الشعر,45.0.0,,,,,,,,Mabath,,SEC,,Mabath_data
5,كفالة أبي طالب لرسول الله صلى الله عليه وسلم,46.0.0,,,,,,,,Mabath,,SEC,,Mabath_data
6,قصة بحيرى [2],47.0.0,,,,,,,,Mabath,,PRI,,Mabath_data
7,,,,,,,ذكر حضور رسول الله - صلى الله عليه وسلم - حرب الفجار ,1.31.0.0.0,,Mabath,,SEC,,Mabath_data
8,,,,,,,ذكر حضور رسول الله - صلى الله عليه وسلم - حلف الفضول,1.32.0.0.0,,Mabath,,SEC,,Mabath_data
9,حديث تزويج رسول الله صلى الله عليه وسلم خديجة رضي الله عنها,49.0.0,, ذكر تزويج النبي ص خديجة رضي الله عنها,3.3.0,,ذكر تزويج رسول الله - صلى الله عليه وسلم - خديجة بنت خويلد ,1.34.0.0.0 ,,Mabath,,SEC,,Mabath_data
10,,,,,,,ذكر أولاد رسول الله - صلى الله عليه وسلم - وتسميتهم ,1.35.0.0.0,,Mabath,,SEC,,Mabath_data
11,حديث بنيان الكعبة وحكم رسول الله صلى الله عليه وسلم بين قريش في وضع الحجر,50.0.0,,,,,,,,Mabath,,SEC,,Mabath_data
12,,,,,,,ذكر نبوة رسول الله- صلى الله عليه وسلم -,1.38.0.0.0,,Mabath,,SEC,,Mabath_data
13,,,,,,,ذكر علامات النبوة في رسول الله- صلى الله عليه وسلم - قبل أن يوحى إليه,1.39.0.0.0,,Mabath,,SEC,,Mabath_data
14,ابتداء تنزيل القرآن,58.0.0,,ذكر الخبر عما كان من أمر نبي الله ص عند ابتداء الله تعالى ذكره إياه بإكرامه بإرسال جبريل ع إليه بوحيه,3.6.0,,ذكر نزول الوحي على رسول الله- صلى الله عليه وسلم - ,1.44.0.0.0,,Mabath,,PRI,,Mabath_data
15,إسلام خديجة بنت خويلد,59.0.0,,,,,,,,Mabath,,SEC,,Mabath_data
