Order,Ibn Hisham text,Ibn Hisham UI,Tabari Text,Tabari UI,Ibn Sa'd Text,Ibn Sa'd UI,Section of storyline,Importance
1,,,القول في الزمان ما هو,1.1.0,,,Mubtada,SEC
2,,,القول في خلق آدم ع,1.16.0,,,Mubtada,PRI
3,,,,,ذكر القرون والسنين التي بين آدم ومحمد. عليهما الصلاة والسلام قال:,1.8.0.0.0,Mubtada,SEC
4,,,ذكر الأحداث التي كانت في عهد آدم ع بعد أن أهبط إلى الأرض,1.21.0,,,Mubtada,SEC
5,,,[Noah]@MAB@,1.25.7,,,Mubtada,SEC
6,,,ذكر الأحداث التي كانت بين نوح وإبراهيم خليل الرحمن ع,1.28.0,,,Mubtada,PRI
7,,,ذكر ابراهيم خليل الرحمن ع وذكر من كان في عصره من ملوك العجم ,1.29.0,,,Mubtada,SEC
8,,,ثم إن الله تعالى ذكره ابتلى خليله ابراهيم ع بذبح ابنه.,1.29.5,,,Mubtada,SEC
9,,,ذكر أيوب ع,1.32.0,,,Mubtada,SEC
10,,,ذكر يعقوب وأولاده,1.34.0,,,Mubtada,SEC
11,,,يوسف,1.34.1,,,Mubtada,SEC
12,,,قصة الخضر وخبره وخبر موسى وفتاه يوشع ع,1.35.0,,,Mubtada,PRI
13,,,ذكر وفاه موسى وهارون ابنى عمران ع,1.38.0,,,Mubtada,SEC
14,,,ذكر خبر سليمان بن داود ع,1.46.0,,,Mubtada,PRI
15,,,ذكر الخبر عن ملوك اليمن في أيام قابوس وبعده إلى عهد بهمن بن إسفنديار,1.50.0,,,Mubtada,SEC
16,,,ذكر اخبار ملوك الفرس بعد الاسكندر وهم ملوك الطوائف,1.54.0,,,Mubtada,SEC
17,,,القول فيما خلق الله في كل يوم من الأيام السته التي ذكر الله في كتابه أنه خلق فيهن السموات والأرض وما بينهما,1.9.0,,,Mubtada,PRI
18,,,ذكر الخبر عن أصحاب الكهف,2.1.0,,,Mubtada,SEC
19,"أمر الفيل، وقصة النسأة",14.0.0,,,,,Mubtada,SEC
